Formulario,nom_hum,reg_jur,asp,cat_manejo,nombre_asp,nom_cuenc,tipo_hum,clase_hum,nat_art,Perimetro_m,Area_Has
1,Canas Gordas 1,Zona Fronteriza (2Km),Fuera,N/A,Fueras ASP,Esquinas,Palustre,Pantano herbaceo,Natural,914.8830989,3.181106847
2,Canas Gordas 2,Zona Fronteriza (2Km),Fuera,N/A,Fueras ASP,Esquinas,Palustre,Pantano herbaceo,Natural,6571.416954,15.72995335
3,Canas Gordas 3,Zona Fronteriza (2Km),Fuera,N/A,Fueras ASP,Esquinas,Palustre,Pantano herbaceo,Natural,1181.026268,3.200795179
4,Canas Gordas 4,Zona Fronteriza (2Km),Fuera,N/A,Fueras ASP,Esquinas,Palustre,Pantano herbaceo,Natural,609.7575052,1.809418644
5,Lourdes 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,492.476113,0.9640274455
6,La Isla,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,1810.869506,2.399886909
7,San Joaquin 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Artificial,458.3693845,0.8652581001
8,San Joaquin 1,Area Silvestre Protegida,Parcialmente,Humedal,Laguna San Joaquin,Terraba,Palustre,Pantano herbaceo,Artificial,4005.696414,18.03663736
9,Laguna El Campo,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Artificial,266.6479625,0.3975770967
10,Rafaelita,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Artificial,242.2217746,0.3732410893
11,San Joaquin 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Artificial,985.196466,2.320226812
12,El Jicote 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Tempisque,Palustre,Pantano herbaceo,Natural,4007.66793,35.26806709
13,El Jicote 2,Area Silvestre Protegida,Dentro,Refugio Nacional de Vida Silvestre,Hacienda El Viejo,Tempisque,Palustre,Pantano herbaceo,Natural,2224.32374,16.68065693
14,La Bolsa,Area Silvestre Protegida,Dentro,Refugio Nacional de Vida Silvestre,Hacienda El Viejo,Tempisque,Estuarino,Manglar,Natural,12007.08785,157.3816596
15,El Paraguas,Area Silvestre Protegida,Dentro,Humedal,"Palustrino Lag, del Paraguas",Terraba,Lacustre,Laguna,Natural,1129.774583,2.194656959
16,Tadeo,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,364.4843685,0.3750602765
17,Laguna Larga / Redonda,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,3891.03976,11.40670428
18,Laguna La Danta,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,817.7164258,1.911082799
20,La Dantica,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,140.6737197,0.07753311371
21,Los Martinez,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,926.0684313,2.876653373
22,Laguna Los Mangos / La Gloria,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,224.3292506,0.3460060031
23,La Fortuna,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,264.7386098,0.4182358454
24,Laguna Azul,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,237.5827881,0.1600732217
25,Laguna Carce,Territorio Indigena,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,573.1540661,1.44621044
26,El Jardin,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,2020.712134,4.814955283
27,Laguna El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,174.6449024,0.1625293972
28,Humedales Valle El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,645.814924,0.8877847749
29,Humedales Valle El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,1112.849712,2.163693679
30,Humedales Valle El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,581.0444374,0.8182275704
31,Humedales Valle El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,173.3550447,0.1212504211
32,Humedales Valle El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,284.0941909,0.3821985498
33,Humedales Valle El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,783.0919845,0.9565143843
34,Humedales Valle El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,3138.757183,15.07967706
35,Humedales Valle El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,371.3146923,0.4822227959
36,Humedales Valle El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,1736.179671,5.948769277
37,Humedales Valle El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Terraba,Palustre,Pantano herbaceo,Natural,587.3403315,1.918966499
38,Laguna Chocuaco,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,495.1332512,0.8790761234
40,Laguna Rancho Coco,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Artificial,354.7814245,0.6642599022
39,Laguna El Silencio,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,743.8463958,2.45935942
48,El Socorro,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,364.6002783,0.4669207832
41,Laguna Bajo Reyes,Propiedad Privada del Estado - INDER,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,189.3086382,0.1988860799
42,Bajo Reyes,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,419.6192693,0.4425061653
43,Hamacas,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,225.2531598,0.3154486205
44,Santa Maria Pittier,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Artificial,276.7147367,0.2779382072
45,Finca Taxadrop,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,198.793026,0.0848084918
46,Laguna Aguabuena,Propiedad Privada del Estado - INDER,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,368.2038357,0.8583825604
47,Laguna Las Marias,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,335.3925662,0.2627782065
19,San Marcos,Zona Fronteriza (2Km),Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,2454.118773,7.771689139
49,Comunidad Encuentro,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,1310.832193,1.393963245
50,Laguna Marvin Perez,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,117.5134335,0.08553172805
51,Laguna Kropf,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,260.4784721,0.3363162406
52,Tonino Papilli 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,946.5707446,2.741316853
53,Tonino Papilli 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,813.259972,1.874637453
54,Laguna El Zoncho (Julia),Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,428.279487,1.009697236
55,Franchesco Chiulli,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,494.2498686,0.7259284535
56,Didier Fonseca,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Artificial,585.3630335,0.5920860485
57,Jimevilla,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,1792.056005,4.476137528
58,Ernesto Araya,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Esquinas,Palustre,Pantano herbaceo,Artificial,222.422467,0.2538355844
59,Metaponto,Propiedad Privada del Estado - INDER,Fuera,N/A,Fueras ASP,Esquinas,Lacustre,Laguna,Artificial,342.5511852,0.473189408
60,Campo 2 y medio,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Esquinas,Lacustre,Laguna,Artificial,366.0955025,0.4682803986
61,El Paraguas 2 (Los Gamboa),Propiedad privada / En posesion,Parcialmente,Humedal,"Palustrino Lag, del Paraguas",Terraba,Palustre,Pantano herbaceo,Natural,330.7528294,0.1843526624
62,Metaponto 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Esquinas,Palustre,Pantano herbaceo,Artificial,141.7983277,0.1315830991
63,Luis Corrales,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Artificial,116.0901058,0.07105751863
2297,Laguna San Juan,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Terraba,Lacustre,Laguna,Natural,1401.06576,7.697342968
714,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Terraba,Palustre,Humedales de altura,Natural,86.85378247,0.0323908928
715,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Terraba,Palustre,Humedales de altura,Natural,126.2842592,0.06056937912
716,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Terraba,Palustre,Humedales de altura,Natural,107.7786653,0.04539067186
717,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Terraba,Palustre,Humedales de altura,Natural,33.30871289,0.00288067242
718,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Terraba,Palustre,Humedales de altura,Natural,28.0867396,0.0037757989
719,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Terraba,Palustre,Humedales de altura,Natural,43.35273083,0.00424595925
720,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Terraba,Palustre,Humedales de altura,Natural,95.01640533,0.03586455362
721,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Terraba,Palustre,Humedales de altura,Natural,41.19374383,0.0084564347
722,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Terraba,Palustre,Humedales de altura,Natural,94.81130817,0.0267193014
723,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Terraba,Palustre,Humedales de altura,Natural,52.29391086,0.01013064712
724,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Terraba,Palustre,Humedales de altura,Natural,15.14837332,0.0010661269
725,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Terraba,Palustre,Humedales de altura,Natural,69.32777593,0.02742021504
726,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Sixaola,Palustre,Humedales de altura,Natural,284.0652622,0.3667413809
727,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,117.7787124,0.02292478355
728,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,70.08067395,0.01139931906
729,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,172.0916758,0.1006560577
730,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,85.6172578,0.02071634142
731,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,38.54832926,0.005095743767
732,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,150.3153065,0.03005592329
733,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,448.1624425,0.7423675668
734,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,247.0195195,0.3337684308
735,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,82.2630601,0.02481064444
736,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,131.6288201,0.0426853985
737,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,36.81345085,0.007434500625
738,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,64.77631043,0.01161736328
739,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,20.44898629,0.002318946975
740,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,37.07208686,0.007592834418
741,Humedales PN Chirripo,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,27.79102957,0.004798561509
742,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,49.23064889,0.008598815458
743,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,23.60565633,0.003424059171
744,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,32.4513827,0.006679602218
745,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,16.96777072,0.001952818675
746,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,85.93887092,0.03543771974
747,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,65.50989971,0.01361365945
748,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,54.21890519,0.009891470776
2298,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Lacustre,Laguna,Natural,2642.596847,8.320352702
749,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,61.00481967,0.01123295343
750,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,40.22976227,0.006950894291
751,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,59.00751986,0.007794240049
752,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,36.02456405,0.004298236401
753,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,51.16079117,0.005903353347
2299,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Lacustre,Laguna,Natural,279.5747111,0.3153144107
754,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,191.1325403,0.191253118
2300,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Lacustre,Laguna,Natural,906.1834456,3.10633392
755,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,403.4917414,0.1898721339
756,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,55.78147924,0.006917901525
757,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,78.01339361,0.02431181365
2301,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Lacustre,Laguna,Natural,425.5989665,0.7706480461
758,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,92.58752741,0.03389717178
759,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,74.44147933,0.01150322947
760,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,91.40961973,0.03113406467
2302,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Lacustre,Laguna,Natural,497.197424,0.7089948971
761,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,65.67513944,0.009875012635
762,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,101.532601,0.03388680661
763,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,48.60898057,0.006758517373
764,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,57.38639903,0.01000695195
765,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,16.45699372,0.00184921398
766,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,18.47280402,0.0015887065
767,Humedales sector Morrenas,Area Silvestre Protegida,Dentro,Parque Nacional,Chirripo,Matina,Palustre,Humedales de altura,Natural,152.5842654,0.07690720994
84,Laguna La Garza,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,2297.384822,5.444959658
74,Rolando Barrantes,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,1443.145324,2.422282851
75,Pista Las Lagunas,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,4063.406567,6.800657392
103,La Familia 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,1340.737452,0.8553465449
65,Adenago,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,115.5913463,0.08225540057
66,Jose Quiros,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,883.6780851,1.284553567
67,Las Mercedes,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,294.2966326,0.4420662549
68,El Chocuaco,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,1618.903033,1.650537797
69,Las Brisas,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,1297.664611,1.243701912
70,Lagua Los Esquivel,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,3844.057128,5.010070077
71,La Georgina,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,1259.603963,2.330375411
72,Rodriguez Ulate,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,472.7883362,0.9606202276
73,May Alvarado,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,652.8170117,0.9356567425
79,Laguna Lourdes,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,271.6338988,0.4168109968
64,Laguna Colorada,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,6230.588728,13.47644167
80,Angelica del Sur,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,208.6684415,0.3156790096
81,Edgar Ramirez,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Artificial,213.6883178,0.2622473729
82,Barrio Laboratorio,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,143.2814479,0.105872107
83,Cocori,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,283.7081483,0.2736856258
85,Los Tijos,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,734.859636,1.377449384
86,Los Piches,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,951.2564171,0.6298179492
87,La Ceniza,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,1151.296829,2.165716348
88,Coopeagri,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,567.0537502,1.028658058
89,Coopeagri 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,1099.214218,2.730842862
90,MINAE,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,912.9509767,1.814448824
91,UNA,Propiedad Privada del Estado - UNA,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,272.7629059,0.2033371267
94,Cristo Rey,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,264.3707572,0.2198949616
92,Dora Obando,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,4456.12256,5.760855963
93,Calle Vargas,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,720.5508553,0.6792410184
95,Loma de Cocori,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,374.9744534,0.6741768746
102,Camposanto COOPEAGRI,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,3212.663367,3.304471289
97,Trans Roden,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,112.3294816,0.0685721514
98,Tambor,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Artificial,546.2875226,1.700486979
99,Los Naranjo,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,318.9980114,0.2941391136
100,Palo Verde,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,247.6344115,0.2509629188
96,La Pluma,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,752.5922363,0.9339076332
104,VOLCAFE,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,984.9068627,3.299334767
105,San Pablo,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,722.2030696,0.9969773367
107,Chontales,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Baru,Lacustre,Laguna,Natural,26.39441741,0.004666219535
106,Catarata Chontales,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Baru,Lacustre,Laguna,Natural,304.0514983,0.4420258805
76,Aguas Bravas,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,2951.070299,5.686839163
77,Villa Flor 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,3867.457939,7.573497398
145,Villa Flor 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,1368.344592,5.137564231
78,Mollejones,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,530.2669691,0.3884887185
146,Villa Flor 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,326.1503841,0.443081481
101,San Pablo,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,485.4721944,0.3200943305
2303,Sabanas El Indio,Area Silvestre Protegida,Dentro,Parque Nacional,Tapanti - Macizo Cerro de la Muerte,Reventazon - Parismina,Palustre,Pantano herbaceo,Natural,6320.371175,22.67291343
2304,Humedales cerro Vueltas,Area Silvestre Protegida,Dentro,Parque Nacional,Tapanti - Macizo Cerro de la Muerte,Reventazon - Parismina,Palustre,Pantano herbaceo,Natural,764.8853803,1.167326689
2305,Humedales cerro Vueltas,Area Silvestre Protegida,Dentro,Reserva Forestal,Rio Macho,Reventazon - Parismina,Palustre,Pantano herbaceo,Natural,279.8447209,0.4502608881
2306,Humedales cerro Vueltas,Area Silvestre Protegida,Dentro,Parque Nacional,Tapanti - Macizo Cerro de la Muerte,Reventazon - Parismina,Palustre,Pantano herbaceo,Natural,966.643008,2.410083668
2307,Humedales cerro Vueltas,Area Silvestre Protegida,Dentro,Parque Nacional,Tapanti - Macizo Cerro de la Muerte,Reventazon - Parismina,Palustre,Pantano herbaceo,Natural,450.0474714,0.6226543131
6839,Humedales cerro Vueltas,Propiedad privada / En posesion,Parcialmente,Parque Nacional,Tapanti - Macizo Cerro de la Muerte,Parrita,Palustre,Pantano herbaceo,Natural,673.3019437,1.241166315
