Formulario,nom_hum,reg_jur,asp,cat_manejo,nombre_asp,nom_cuenc,tipo_hum,clase_hum,nat_art,Perimetro_m,Area_Has
9442,Muro de Piedra,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,605.7593081,0.4338150693
9443,Rambla 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,940.9079099,1.016863855
9444,Rambla 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,217.6659845,0.1374278678
9445,Rambla 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,222.7335558,0.152919115
9446,Rambla 4,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,1117.981131,1.045468464
9447,Rambla 5,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,366.8593316,0.4175914206
9448,Humedal Ternera,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Lacustre,Laguna,Artificial,196.9385892,0.1596213298
9449,Minizoo 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,100.1930824,0.04261520443
9450,Minizoo 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,289.4641182,0.2947086581
9451,Horquetas - Buenos Aires 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,2272.232181,3.051322223
9452,Horquetas - Buenos Aires 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,2392.750697,4.754647609
9453,Horquetas - Buenos Aires 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,1565.004739,2.245894753
9454,Horquetas - Buenos Aires 4,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,912.7248991,0.4879750036
9455,Horquetas - Buenos Aires 5,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,567.970562,0.4839428687
9456,Horquetas - Buenos Aires 6,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,492.8228208,0.3723779397
9457,Sector Maritza 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,66.37636116,0.03193459487
9458,Sector Maritza 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,1041.919127,1.898646207
9459,Sector Maritza 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,622.4291538,0.3251800899
9460,Humedal Tencio,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,104.6570572,0.06023670289
9461,Sector UNA 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,80.43444845,0.02667570583
9462,Sector UNA 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,57.58526904,0.01923172606
9463,El Carmen 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,426.3997025,0.4429615035
9464,El Carmen 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,678.1139381,1.039876131
9465,Humedal Alfaro 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,566.2831066,0.496228692
9466,Humedal Alfaro 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,469.4024884,0.2447634562
9467,Humedal Alfaro 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,774.2893385,0.6041704578
9468,Humedal El Ceibo 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,612.6578142,1.202088992
9469,Humedal El Ceibo 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,364.4425967,0.2916455378
9470,Humedal El Ceibo 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,255.8827675,0.1474636122
9471,Humedal El Ceibo 4,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,422.1954159,0.3229119691
9472,Humedal El Ceibo 5,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,608.6615223,0.566667247
9473,Finca 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,1022.773749,1.181878991
9474,Sector Finca 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,146.0333859,0.07052426205
9475,Sector Finca 2 - 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,587.7962057,0.679307652
9476,Sector Finca 2 - 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,197.2299653,0.07253118649
9477,Sector Finca 2 - 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,9959.029009,14.05702613
9478,Tapa Viento,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,2422.381858,17.59534985
9479,Sector Finca 1 - 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,257.2637904,0.3334617378
9480,Sector Finca 1 - 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,420.3935028,0.3929409835
9481,Sector Finca 1 - 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,560.9214912,0.4295356176
9482,Sector Finca 1 - 4,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,896.3428174,0.9322786807
9483,Sector Finca 1 - 5,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,586.0721971,0.4893612047
9484,Sector Finca 1 - 6,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,1022.23158,0.6987187206
9485,Tapa Viento 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,304.1287841,0.5161797441
9486,Humedal Puente de Lata,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,240.7978725,0.2520797064
9487,El Bambu 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,902.8358606,0.5939861139
9488,El Bambu 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,1233.563382,1.118056284
9489,El Bambu 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,1276.447876,0.811933175
9490,El Bambu 4,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,127.5914892,0.07271180492
9491,El Bambu 5,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,40.5409025,0.01192659187
9492,Los Laureles 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,185.0356969,0.1946083377
9493,Los Laureles 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,210.7112112,0.1681894635
9494,Colonia Bambu 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,1450.131294,1.151292285
9495,Colonia Bambu 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,406.976746,0.3645735462
9499,Laguna Horquetas Buenos Aires,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Lacustre,Laguna,Artificial,145.5578672,0.08093149257
9500,Finca Isla Grande,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,248.8098588,0.2524181748
9496,Planta Tropo Frost 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,1061.891136,1.463596603
9497,Planta Tropo Frost 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,5673.539554,6.775432902
9498,Planta Tropo Frost 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,261.7251794,0.4803278261
9501,Las Marias - Managuita 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,877.5829527,2.761376836
9502,Las Marias - Managuita 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,5024.451263,33.41074497
9503,Las Marias - Managuita 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,3074.323678,33.77101364
9504,Las Marias - Managuita 4,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,1717.56715,21.72690308
9505,Pantano arbolado Las Marias 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,"Pantano arbolado (gavilan, sangrillo, ceibo)",Natural,772.6106284,2.379238845
9506,Pantano arbolado Las Marias 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,"Pantano arbolado (gavilan, sangrillo, ceibo)",Natural,3266.003912,41.99896307
9507,Pantano arbolado Las Marias 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,"Pantano arbolado (gavilan, sangrillo, ceibo)",Natural,2351.366002,14.24798986
9508,Pantano arbolado Las Marias 4,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,"Pantano arbolado (gavilan, sangrillo, ceibo)",Natural,4426.259369,41.2504793
9509,Humedal Las Marias 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,1916.960769,3.93070363
9510,Humedal Las Marias 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,12751.10213,78.23510798
9511,Humedal Las Marias 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,87.88924717,0.03065094751
9512,Las Marias 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,1674.552968,1.29839896
9513,Las Marias 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,928.0248102,0.4768419274
9514,Las Marias 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,264.6010365,0.1752465395
9515,Las Marias 4,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,823.3583955,0.3762857315
9516,Las Marias 5,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,218.756205,0.08453055177
9538,Humedal Zapote 11,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,798.6644687,0.6879591975
9537,Humedal Zapote 10,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,296.0933294,0.2138518561
9536,Humedal Zapote 9,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,2918.676462,2.886032805
9535,Humedal Zapote 8,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,526.4987584,0.9358776244
9534,Humedal Zapote 7,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,655.4839818,0.8818283416
9533,Humedal Zapote 6,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,351.0685045,0.3210102614
9532,Humedal Zapote 5,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,1241.727792,0.80497299
9531,Humedal Zapote 4,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,1190.0269,1.500118928
9530,Humedal Zapote 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,585.391568,1.048461726
9529,Humedal Zapote 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,273.0408421,0.1455157849
9528,Humedal Zapote 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,228.8807205,0.223129215
9527,Humedal Olaman Vargas,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,86.33364674,0.04542220842
9526,Humedal arbolado Zapote 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano arbolado (gavilan),Natural,592.5432024,0.966747576
