Formulario,nom_hum,Bosques,Charr_Taco,Sabanas,Reforest,Gan_Intens,Gan_Extens,Agricult,Tipo_Agr,Acuacult,Pesca,Moluscos,Extr_Recur,Infraestr,Turism_Com,Transp_Acu,Industria,Otros,IV,Shape_Area
,,0.5,0.3,0.3,0.1,-0.5,-0.2,-0.4,,0.1,0.1,-0.1,-0.3,-0.5,-0.1,-0.1,-0.2,,,
,,BO,CT,SA,RE,GI,GE,AG,,AC,PE,MO,EX,IN,TU,TR,ID,OT,,
142,Arrozal Pailon de Sierpe,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.00,8681.29124096000
143,Sabalo Pailon,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.00,62900.41612340000
144,Laguna Chocuaco,1,1,0,0,0,1,0,,0,1,0,0,0,0,0,0,,0.70,820888.94324400000
145,Villa Flor de Platanares 2,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,,-0.20,51375.64230720000
146,Villa Flor,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,,-0.20,4430.81481029000
147,Ley Riyito 4,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.00,1036.06920587000
148,Bahia Mogos de Osa,1,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,,-0.20,112240.80601200000
149,Tigre 1,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.30,1036.02493670000
150,Dos Brazos de Rio Tigre 2,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.30,433.66454063300
151,Laguna Alfredo Paja,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,,0.60,1921.26278658000
152,Maxin - Tambor,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,-0.20,3363.43665403000
153,Pantano Los Delfines,0,1,0,0,0,1,0,,0,0,0,0,1,1,0,0,,-0.50,167505.19771100000
154,Laguna Los Delfines,0,1,0,0,0,0,0,,0,1,0,0,1,1,0,0,,-0.20,20465.66170700000
155,Santa Lucia 1,1,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,0.10,34476.68138420000
156,Santa Lucia 2,1,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,0.10,10968.25309080000
157,Santa Lucia 3,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0.80,6420.40977009000
158,Humedal Juan Ralo,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.30,10817.03644590000
159,Laguna Santa Lucia,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.30,1530.33731103000
160,CTP Paquera,1,1,0,0,0,0,0,,1,0,0,0,1,0,0,0,,0.40,1617.08205543000
161,Cecilio Rodriguez,1,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,0.10,95673.29492160000
162,Camaronera G Mena y E Jimenez,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,,-0.20,87478.20093260000
163,Camaronera R Aguilar (Felo),1,1,0,0,0,0,1,Mango,1,0,0,0,1,0,0,0,,0.00,212578.92608300000
164,Camaronera Rodrigo Zamora,1,0,0,0,0,1,1,Mango,1,0,0,0,1,0,0,0,,-0.50,367427.92086400000
165,Camaronera Alberto Barrantes,1,0,0,0,0,0,0,,1,0,0,0,1,0,0,0,,0.10,103514.43945200000
166,Camaronera E Villalobos,1,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,,-0.10,82830.58651540000
167,Camaronera Jorge Cubero,1,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,,-0.10,35386.49432000000
168,Camaronera Jose Delgado,1,0,0,0,0,1,1,Maiz,1,0,0,0,1,0,0,0,,-0.50,136437.19060600000
169,Camaronera y salinera JSheridan,1,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,,-0.10,240291.87264600000
170,Camaronera y salinera A Barrantes,1,0,0,0,0,1,0,,1,0,0,1,1,0,0,0,,-0.40,74548.18058220000
171,Camaronera P Rodriguez,1,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,,-0.10,90556.23741690000
172,Camaronera D Rodriguez,1,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,,-0.10,22999.85211440000
173,Camaronera E Masis,1,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,,-0.10,71623.12605770000
174,Camaronera A Alvarado (Chino),1,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,,-0.10,32790.80781630000
175,Camaronera Anita Valencia,1,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,,-0.10,81442.52297880000
176,Camaronera A Rodriguez (Pochote),1,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,,-0.10,55831.02899070000
177,Camaronera y salinera R Rodriguez,1,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,,-0.10,58596.66436620000
178,Camaronera A Rodriguez,1,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,,-0.10,255499.51940700000
179,Camaroneras Los Chumino,1,0,0,0,0,0,0,Mango,1,0,0,0,1,0,0,0,,0.10,382020.17750800000
180,Camaronera R Gonzalez,1,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,,-0.10,173281.59947800000
181,Camaronera A Rodriguez,1,0,0,0,0,1,1,Maiz,1,0,0,0,1,0,0,0,,-0.50,71691.59413900000
182,Camaronera Jose Chavarria,1,0,0,0,0,0,1,Melon,1,0,0,0,1,0,0,0,,-0.30,161495.62345200000
183,Camaronera G Acon (Sapira),1,0,0,0,0,0,1,Melon,1,0,0,0,1,0,0,0,,-0.30,370798.52158300000
184,Camaronera Tadeo Santa Maria,1,1,0,0,0,0,1,Mango,1,0,0,0,1,0,0,0,,0.00,59009.55484060000
185,Camaronera Inversiones M y G (Justioniani),1,1,0,0,0,0,1,Mango,1,0,0,0,1,0,0,0,,0.00,235763.05894500000
186,Camaronera y salinera J de la Cruz,1,1,0,0,0,1,0,,1,0,0,0,1,0,0,0,,0.20,50780.22909890000
187,Dinia Ramirez,0,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,-0.40,4817.24835063000
188,Humedal El Mango,0,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,-0.40,664.74731725700
189,La Gilda,1,1,0,0,0,0,1,Arroz,0,0,0,0,1,0,0,0,,-0.10,184982.45800200000
190,Rio Canas 1,1,1,1,1,0,1,1,Arroz,0,0,0,0,1,0,0,0,,0.10,4064044.71096000000
191,Laguna Rio Canas (San Francisco),0,1,0,0,0,1,1,Arroz,0,0,0,0,1,0,0,0,,-0.80,372636.83865200000
192,Hatillo,1,1,0,0,0,1,1,Arroz,0,0,0,0,0,0,0,0,,0.20,1164236.18234000000
193,Laguna Balsitas,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0.80,3521.15797816000
194,Rio Canas 2,1,1,1,1,0,1,1,Arroz,0,0,0,0,1,0,0,0,,0.10,7182613.05384000000
195,Manzanillo,1,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0.70,4353.60832189000
196,Las Manchas,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.30,3015.11448359000
197,Laguna Perro,0,1,0,0,0,0,0,,0,1,0,0,1,1,0,0,,-0.20,4752.13718641000
198,Caletas,1,1,0,0,0,1,1,Arroz,0,0,0,0,1,0,0,0,,-0.30,2907613.02955000000
199,Caletas 2,1,1,0,0,0,1,1,Arroz,0,0,0,0,1,0,0,0,,-0.30,22927.81283040000
200,Arrozal El Bongo,0,1,0,0,0,1,1,Arroz,0,0,0,0,1,0,0,0,,-0.80,193014.06125900000
201,Quebrada de Nando,1,1,0,1,0,1,0,,0,0,0,0,1,0,0,0,,0.20,21577.38865440000
202,El Bongo 2,1,1,0,1,0,1,0,,0,0,0,0,1,0,0,0,,0.20,35309.66884750000
203,Mid West Teak,1,1,0,1,0,0,1,Arroz,0,0,0,0,1,0,0,0,,0.00,410750.75669800000
204,Mid West Teak 2,1,1,0,1,0,0,1,Arroz,0,0,0,0,0,0,0,0,,0.50,4287.83687765000
205,Mid West Teak 3,1,1,0,1,0,0,1,Arroz,0,0,0,0,0,0,0,0,,0.50,1498.62725861000
206,El Bongo 3,1,1,0,1,0,0,1,Teca,0,0,0,0,1,0,0,0,,0.00,22469.37292420000
207,El Bongo,0,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,-0.40,73598.75516140000
208,Playa Puerto Coyote,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.30,1334.94649468000
209,Puente rio Coyote,1,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,0.10,25977.60060330000
210,La Trocha,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.60,185301.36464100000
211,Coyote Centro,1,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,0.10,39808.98291520000
212,Javier Herrera,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.60,26972.18669090000
213,El Orgullo,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.60,57425.80542830000
214,Platanillo,1,1,0,1,0,1,0,,0,0,0,0,0,0,0,0,,0.70,28013.45428170000
215,Platanillo 2,1,1,0,1,0,1,0,,0,0,0,0,1,0,0,0,,0.20,45215.72680170000
216,Carlos Luis Solorzano,1,0,1,1,0,1,0,,0,0,0,0,0,0,0,0,,0.70,204983.08680300000
217,Playa Coyote,1,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,0.10,448304.52035900000
218,Hacienda La Javilla 1,1,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,0.10,21479.73377280000
219,Hacienda La Javilla 2 (Playa San Miguel),1,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,0.10,312981.70183900000
220,Pilas de Bejuco,1,1,0,0,0,1,0,,0,0,0,0,0,1,0,0,,0.50,1640450.73323000000
